Id,SalePrice
1461,128325.31661365266
1462,182796.46085231708
1463,138295.49809968108
1464,176843.2862698986
1465,250824.0621601095
1466,176873.8224883209
1467,174070.04243318326
1468,174655.7826229199
1469,214107.0590853012
1470,79958.74621074033
1471,208113.63221496242
1472,158420.1243206087
1473,121431.17747100667
1474,166158.38584195325
1475,203147.33269155523
1476,312523.9621052871
1477,268664.2599395192
1478,310666.8048212405
1479,270384.0042406656
1480,314525.47242187546
1481,269728.8635545146
1482,253776.35927757373
1483,188663.5788191818
1484,204428.4658553632
1485,225348.6576656395
1486,218793.08677434493
1487,281885.16067759343
1488,256351.11769454417
1489,212773.18154421836
1490,170579.0912923937
1491,223433.2039646049
1492,125796.36252431566
1493,184382.9562003479
1494,275930.59808524663
1495,273142.08613932016
1496,206693.69805832588
1497,204861.5249529884
1498,204445.1219745026
1499,203513.76731262277
1500,159619.3648986478
1501,160224.53722738047
1502,203318.05791273442
1503,254811.7085129247
1504,261024.65329423334
1505,217992.20504572397
1506,184412.2105799923
1507,184877.19390596807
1508,189139.6662245839
1509,183224.07408137948
1510,132424.21610303145
1511,132840.61908151724
1512,132535.25689729434
1513,177706.62844529244
1514,155922.0430822225
1515,132596.32933413892
1516,187089.57556050553
1517,171883.8206249825
1518,135180.79838154468
1519,218265.6430015963
1520,130272.80071418823
1521,133985.72727235316
1522,176918.23880602603
1523,86839.21759640417
1524,127392.57394184452
1525,134221.6889601618
1526,131052.75612273457
1527,79261.96522674078
1528,174186.6352671593
1529,129696.77659394956
1530,169635.24454115928
1531,81867.36603328388
1532,118419.08975547578
1533,127156.71842518623
1534,172570.9917106344
1535,135548.62645160314
1536,130535.13459063426
1537,-6086.718147282518
1538,264107.4233449565
1539,263274.6173879849
1540,136260.67010575114
1541,170745.652483788
1542,127191.4186733934
1543,217704.88699056875
1544,75239.51245456806
1545,164416.32721080407
1546,171321.78277517707
1547,127927.06393538494
1548,171321.78277517707
1549,120855.04717961763
1550,134665.9583083636
1551,164582.88840219835
1552,93344.9263014308
1553,180899.05128035016
1554,167252.13766544263
1555,140284.51632691486
1556,133856.64234902256
1557,132840.61908151724
1558,171323.17078510535
1559,91061.64996940037
1560,118289.89322193217
1561,94764.7488478543
1562,129925.79823211674
1563,123064.75898544889
1564,129403.9064990812
1565,141587.96382072568
1566,220923.46967196316
1567,81151.04673913796
1568,193609.16436481502
1569,64032.95619402811
1570,178926.68917225584
1571,88182.81120698497
1572,132320.11535841
1573,217346.56808677028
1574,134645.031988289
1575,209705.57343155608
1576,180150.91392900402
1577,210198.42312724792
1578,182752.0445346119
1579,127607.71548072883
1580,219847.97431984227
1581,140252.59209856426
1582,129481.63505506521
1583,265202.5631783741
1584,226806.17426149014
1585,155338.63610866354
1586,36587.62353972916
1587,131372.1045773907
1588,133040.49251119042
1589,84666.8758874863
1590,171745.12580330428
1591,84102.06201782427
1592,118929.87740908502
1593,167039.66597526454
1594,103616.30050283458
1595,132755.9504758918
1596,228301.0609542541
1597,152264.5307500386
1598,234155.58066061392
1599,242394.57169447848
1600,249300.02725885148
1601,-15076.964623941007
1602,168774.67838562196
1603,87297.26087273855
1604,249166.77830573605
1605,266120.0377409711
1606,176346.3787155722
1607,192216.9849676815
1608,223399.89172632605
1609,213589.33138205056
1610,132704.59410854522
1611,133430.41712988843
1612,133137.65320617045
1613,135581.93868988202
1614,115516.76099542982
1615,77253.62103166134
1616,77842.13724125459
1617,77828.25714197173
1618,128750.15382285853
1619,130081.14917293441
1620,134393.79675220654
1621,133638.72479028167
1622,147545.40860407936
1623,264512.722244016
1624,180983.71988597562
1625,174143.50078823205
1626,184056.88003835108
1627,177122.27626548408
1628,274055.3966721323
1629,218547.40901703833
1630,247098.5373414396
1631,254120.58573978863
1632,254999.19602439363
1633,219273.33820953188
1634,173403.797667606
1635,175212.37460416256
1636,173056.7951855345
1637,135616.63893808916
1638,232184.71273359822
1639,178161.89570177023
1640,230988.2481754157
1641,178383.97729029602
1642,216604.195117438
1643,261192.60249555597
1644,262538.97212599334
1645,132109.13784931056
1646,177068.1438782809
1647,222225.63532699613
1648,123061.98296559232
1649,130911.28528119976
1650,84973.73225278786
1651,87697.0077320849
1652,158420.1243206087
1653,158420.1243206087
1654,166197.2501199453
1655,203147.33269155523
1656,166254.15852700503
1657,166274.97867592928
1658,166274.97867592928
1659,202903.0429441769
1660,133964.90712342886
1661,321371.2435593321
1662,311818.8530617178
1663,311818.8530617178
1664,350671.8972450078
1665,310747.30939708103
1666,274198.2555235954
1667,296938.23452100495
1668,309066.4293739267
1669,302861.91882333823
1670,313434.4966182427
1671,224762.91747590285
1672,315877.39409202593
1673,276095.7712667127
1674,264187.927920797
1675,165671.08818597454
1676,156292.19892939596
1677,214288.88838590667
1678,352258.39259303873
1679,271966.33555891155
1680,298028.8682530464
1681,296754.6751388799
1682,274059.4545307668
1683,204812.94460549843
1684,222056.29811574522
